1	Adjustable Race	AR-5381	0.0000	0.0000	\N	\N	2008-04-30	\N
2	Bearing Ball	BA-8327	0.0000	0.0000	\N	\N	2008-04-30	\N
3	BB Ball Bearing	BE-2349	0.0000	0.0000	\N	\N	2008-04-30	\N
4	Headset Ball Bearings	BE-2908	0.0000	0.0000	\N	\N	2008-04-30	\N
316	Blade	BL-2036	0.0000	0.0000	\N	\N	2008-04-30	\N
317	LL Crankarm	CA-5965	0.0000	0.0000	\N	\N	2008-04-30	\N
318	ML Crankarm	CA-6738	0.0000	0.0000	\N	\N	2008-04-30	\N
319	HL Crankarm	CA-7457	0.0000	0.0000	\N	\N	2008-04-30	\N
320	Chainring Bolts	CB-2903	0.0000	0.0000	\N	\N	2008-04-30	\N
321	Chainring Nut	CN-6137	0.0000	0.0000	\N	\N	2008-04-30	\N
322	Chainring	CR-7833	0.0000	0.0000	\N	\N	2008-04-30	\N
323	Crown Race	CR-9981	0.0000	0.0000	\N	\N	2008-04-30	\N
324	Chain Stays	CS-2812	0.0000	0.0000	\N	\N	2008-04-30	\N
325	Decal 1	DC-8732	0.0000	0.0000	\N	\N	2008-04-30	\N
326	Decal 2	DC-9824	0.0000	0.0000	\N	\N	2008-04-30	\N
327	Down Tube	DT-2377	0.0000	0.0000	\N	\N	2008-04-30	\N
328	Mountain End Caps	EC-M092	0.0000	0.0000	\N	\N	2008-04-30	\N
329	Road End Caps	EC-R098	0.0000	0.0000	\N	\N	2008-04-30	\N
330	Touring End Caps	EC-T209	0.0000	0.0000	\N	\N	2008-04-30	\N
331	Fork End	FE-3760	0.0000	0.0000	\N	\N	2008-04-30	\N
332	Freewheel	FH-2981	0.0000	0.0000	\N	\N	2008-04-30	\N
341	Flat Washer 1	FW-1000	0.0000	0.0000	\N	\N	2008-04-30	\N
342	Flat Washer 6	FW-1200	0.0000	0.0000	\N	\N	2008-04-30	\N
343	Flat Washer 2	FW-1400	0.0000	0.0000	\N	\N	2008-04-30	\N
344	Flat Washer 9	FW-3400	0.0000	0.0000	\N	\N	2008-04-30	\N
345	Flat Washer 4	FW-3800	0.0000	0.0000	\N	\N	2008-04-30	\N
346	Flat Washer 3	FW-5160	0.0000	0.0000	\N	\N	2008-04-30	\N
347	Flat Washer 8	FW-5800	0.0000	0.0000	\N	\N	2008-04-30	\N
348	Flat Washer 5	FW-7160	0.0000	0.0000	\N	\N	2008-04-30	\N
349	Flat Washer 7	FW-9160	0.0000	0.0000	\N	\N	2008-04-30	\N
350	Fork Crown	FC-3654	0.0000	0.0000	\N	\N	2008-04-30	\N
351	Front Derailleur Cage	FC-3982	0.0000	0.0000	\N	\N	2008-04-30	\N
352	Front Derailleur Linkage	FL-2301	0.0000	0.0000	\N	\N	2008-04-30	\N
355	Guide Pulley	GP-0982	0.0000	0.0000	\N	\N	2008-04-30	\N
356	LL Grip Tape	GT-0820	0.0000	0.0000	\N	\N	2008-04-30	\N
357	ML Grip Tape	GT-1209	0.0000	0.0000	\N	\N	2008-04-30	\N
358	HL Grip Tape	GT-2908	0.0000	0.0000	\N	\N	2008-04-30	\N
359	Thin-Jam Hex Nut 9	HJ-1213	0.0000	0.0000	\N	\N	2008-04-30	\N
360	Thin-Jam Hex Nut 10	HJ-1220	0.0000	0.0000	\N	\N	2008-04-30	\N
361	Thin-Jam Hex Nut 1	HJ-1420	0.0000	0.0000	\N	\N	2008-04-30	\N
362	Thin-Jam Hex Nut 2	HJ-1428	0.0000	0.0000	\N	\N	2008-04-30	\N
363	Thin-Jam Hex Nut 15	HJ-3410	0.0000	0.0000	\N	\N	2008-04-30	\N
364	Thin-Jam Hex Nut 16	HJ-3416	0.0000	0.0000	\N	\N	2008-04-30	\N
365	Thin-Jam Hex Nut 5	HJ-3816	0.0000	0.0000	\N	\N	2008-04-30	\N
366	Thin-Jam Hex Nut 6	HJ-3824	0.0000	0.0000	\N	\N	2008-04-30	\N
367	Thin-Jam Hex Nut 3	HJ-5161	0.0000	0.0000	\N	\N	2008-04-30	\N
368	Thin-Jam Hex Nut 4	HJ-5162	0.0000	0.0000	\N	\N	2008-04-30	\N
369	Thin-Jam Hex Nut 13	HJ-5811	0.0000	0.0000	\N	\N	2008-04-30	\N
370	Thin-Jam Hex Nut 14	HJ-5818	0.0000	0.0000	\N	\N	2008-04-30	\N
371	Thin-Jam Hex Nut 7	HJ-7161	0.0000	0.0000	\N	\N	2008-04-30	\N
372	Thin-Jam Hex Nut 8	HJ-7162	0.0000	0.0000	\N	\N	2008-04-30	\N
373	Thin-Jam Hex Nut 12	HJ-9080	0.0000	0.0000	\N	\N	2008-04-30	\N
374	Thin-Jam Hex Nut 11	HJ-9161	0.0000	0.0000	\N	\N	2008-04-30	\N
375	Hex Nut 5	HN-1024	0.0000	0.0000	\N	\N	2008-04-30	\N
376	Hex Nut 6	HN-1032	0.0000	0.0000	\N	\N	2008-04-30	\N
377	Hex Nut 16	HN-1213	0.0000	0.0000	\N	\N	2008-04-30	\N
378	Hex Nut 17	HN-1220	0.0000	0.0000	\N	\N	2008-04-30	\N
379	Hex Nut 7	HN-1224	0.0000	0.0000	\N	\N	2008-04-30	\N
380	Hex Nut 8	HN-1420	0.0000	0.0000	\N	\N	2008-04-30	\N
381	Hex Nut 9	HN-1428	0.0000	0.0000	\N	\N	2008-04-30	\N
382	Hex Nut 22	HN-3410	0.0000	0.0000	\N	\N	2008-04-30	\N
