43697	SO43697	2018-06-01	2018-06-12	2018-06-07	5	21768	23148	23148	1
43698	SO43698	2018-06-01	2018-06-12	2018-06-07	5	28389	24593	24593	1
43699	SO43699	2018-06-01	2018-06-12	2018-06-07	5	25863	19613	19613	5
43700	SO43700	2018-06-01	2018-06-12	2018-06-07	5	14501	20278	20278	4
43701	SO43701	2018-06-01	2018-06-12	2018-06-07	5	11003	20425	20425	1
43702	SO43702	2018-06-01	2018-06-13	2018-06-08	5	27645	22584	22584	5
43703	SO43703	2018-06-01	2018-06-13	2018-06-08	5	16624	23967	23967	4
43704	SO43704	2018-06-01	2018-06-13	2018-06-08	5	11005	16025	16025	5
43705	SO43705	2018-06-01	2018-06-13	2018-06-08	5	11011	27345	27345	1
43706	SO43706	2018-06-02	2018-06-14	2018-06-09	5	27621	13264	13264	1
43707	SO43707	2018-06-02	2018-06-14	2018-06-09	5	27616	20923	20923	1
43708	SO43708	2018-06-02	2018-06-14	2018-06-09	5	20042	18427	18427	2
43709	SO43709	2018-06-02	2018-06-14	2018-06-09	5	16351	13951	13951	1
43710	SO43710	2018-06-02	2018-06-14	2018-06-09	5	16517	25446	25446	3
43711	SO43711	2018-06-03	2018-06-15	2018-06-10	5	27606	18404	18404	1
43712	SO43712	2018-06-03	2018-06-15	2018-06-10	5	13513	21867	21867	1
43713	SO43713	2018-06-04	2018-06-16	2018-06-11	5	27601	11855	11855	5
43714	SO43714	2018-06-04	2018-06-16	2018-06-11	5	13591	15169	15169	3
43715	SO43715	2018-06-04	2018-06-16	2018-06-11	5	16483	28213	28213	1
43716	SO43716	2018-06-04	2018-06-16	2018-06-11	5	16529	23557	23557	5
43717	SO43717	2018-06-04	2018-06-16	2018-06-11	5	25249	11809	11809	1
43718	SO43718	2018-06-05	2018-06-17	2018-06-12	5	27668	25346	25346	5
43719	SO43719	2018-06-05	2018-06-17	2018-06-12	5	27612	13854	13854	1
43720	SO43720	2018-06-05	2018-06-17	2018-06-12	5	13264	18584	18584	5
43721	SO43721	2018-06-05	2018-06-17	2018-06-12	5	13590	22146	22146	1
