11000	13531	AW00011000
11001	5454	AW00011001
11002	11269	AW00011002
11003	11358	AW00011003
11004	11901	AW00011004
11005	6990	AW00011005
11006	6229	AW00011006
11007	3878	AW00011007
11008	14673	AW00011008
11009	20229	AW00011009
11010	6377	AW00011010
11011	18258	AW00011011
11012	11663	AW00011012
11013	13873	AW00011013
11014	2868	AW00011014
11015	10963	AW00011015
11016	3800	AW00011016
11017	2521	AW00011017
11018	7394	AW00011018
11019	5132	AW00011019
11020	17128	AW00011020
11021	11489	AW00011021
11022	6522	AW00011022
11023	4373	AW00011023
11024	16843	AW00011024
11025	12565	AW00011025
11026	2857	AW00011026
11027	5526	AW00011027
11028	15088	AW00011028
11029	15638	AW00011029
11030	17272	AW00011030
11031	13917	AW00011031
11032	16240	AW00011032
11033	9475	AW00011033
11034	9657	AW00011034
11035	13948	AW00011035
11036	20539	AW00011036
11037	11014	AW00011037
11038	18643	AW00011038
11039	15676	AW00011039
11040	15080	AW00011040
11041	9940	AW00011041
11042	19075	AW00011042
11043	5960	AW00011043
11044	5244	AW00011044
11045	5225	AW00011045
11046	19870	AW00011046
11047	12928	AW00011047
11048	13513	AW00011048
11049	8749	AW00011049
11050	17337	AW00011050
11051	18655	AW00011051
11052	15276	AW00011052
11053	7430	AW00011053
11054	9790	AW00011054
11055	9489	AW00011055
11056	8428	AW00011056
11057	16962	AW00011057
11058	15681	AW00011058
11059	8960	AW00011059
11060	13542	AW00011060
11061	18220	AW00011061
11062	6096	AW00011062
11063	8821	AW00011063
11064	15436	AW00011064
11065	3510	AW00011065
11066	19662	AW00011066
11067	16424	AW00011067
11068	2676	AW00011068
11069	10008	AW00011069
11070	13417	AW00011070
11071	13827	AW00011071
11072	16284	AW00011072
11073	20712	AW00011073
11074	7914	AW00011074
11075	14267	AW00011075
11076	4157	AW00011076
11077	17455	AW00011077
11078	15039	AW00011078
11079	20058	AW00011079
11080	14268	AW00011080
11081	10369	AW00011081
11082	7672	AW00011082
11083	20135	AW00011083
11084	4281	AW00011084
11085	12219	AW00011085
11086	17979	AW00011086
11087	11871	AW00011087
11088	17897	AW00011088
11089	3950	AW00011089
11090	12846	AW00011090
11091	4515	AW00011091
11092	6174	AW00011092
11093	5827	AW00011093
11094	3504	AW00011094
11095	20332	AW00011095
11096	5114	AW00011096
11097	13205	AW00011097
11098	5986	AW00011098
11099	5231	AW00011099
11100	6138	AW00011100
11101	17810	AW00011101
11102	9866	AW00011102
11103	8905	AW00011103
11104	8139	AW00011104
11105	15430	AW00011105
11106	5510	AW00011106
11107	4781	AW00011107
11108	10536	AW00011108
11109	11186	AW00011109
11110	18247	AW00011110
11111	10647	AW00011111
11112	20739	AW00011112
11113	14592	AW00011113
11114	18519	AW00011114
11115	4765	AW00011115
11116	14638	AW00011116
11117	20526	AW00011117
11118	4788	AW00011118
11119	14595	AW00011119
11120	6073	AW00011120
11121	19001	AW00011121
11122	19748	AW00011122
11123	19185	AW00011123
11124	11743	AW00011124
11125	17820	AW00011125
11126	17105	AW00011126
11127	9367	AW00011127
11128	12533	AW00011128
11129	10538	AW00011129
11130	6801	AW00011130
11131	3003	AW00011131
11132	8490	AW00011132
11133	7681	AW00011133
11134	18439	AW00011134
11135	4624	AW00011135
11136	19196	AW00011136
11137	11395	AW00011137
11138	11623	AW00011138
11139	14017	AW00011139
11140	13623	AW00011140
11141	19930	AW00011141
11142	13742	AW00011142
11143	6401	AW00011143
11144	4268	AW00011144
11145	19848	AW00011145
11146	3532	AW00011146
11147	6463	AW00011147
11148	11820	AW00011148
11149	6747	AW00011149
11150	16842	AW00011150
11151	14076	AW00011151
11152	17585	AW00011152
11153	8391	AW00011153
11154	11703	AW00011154
11155	17211	AW00011155
11156	9548	AW00011156
11157	13038	AW00011157
11158	17031	AW00011158
11159	19259	AW00011159
11160	9050	AW00011160
11161	12985	AW00011161
11162	14792	AW00011162
11163	5872	AW00011163
11164	14151	AW00011164
11165	7251	AW00011165
11166	12441	AW00011166
11167	19844	AW00011167
